"country","scenario","species","crop","variable","units","y_2014","y_2015","y_2016","y_2017","y_2018"
0,0,"0","0","Other NP compounds","N2O indirect leach EF kg N2O kg N-1","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143"
0,0,"0","0","Other NP compounds","Fraction leached","0.3","0.3","0.3","0.3","0.3"
0,0,"0","0","Other NP compounds","kg NH3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other NP compounds","kg HNO3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other NP compounds","kg urea req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other NP compounds","kg ammonium nitrate req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other NP compounds","kg map req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other NP compounds","kg dap req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other NP compounds","conversion tonnes N to tonnes fertiliser","8.33","8.33","8.33","8.33","8.33"
0,0,"0","0","Other phosphatic fertilizers, n.e.c.","Tonnes","0","0","0","0","0"
0,0,"0","0","Other phosphatic fertilizers, n.e.c.","Tonnes N","0","0","0","0","0"
0,0,"0","0","Other phosphatic fertilizers, n.e.c.","NH3 EF kg NH3 kg N-1","0","0","0","0","0"
0,0,"0","0","Other phosphatic fertilizers, n.e.c.","NO EF kg NO2 kg N-1","0.04","0.04","0.04","0.04","0.04"
0,0,"0","0","Other phosphatic fertilizers, n.e.c.","N2O direct EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Other phosphatic fertilizers, n.e.c.","N2O indirect vol EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Other phosphatic fertilizers, n.e.c.","N2O indirect leach EF kg N2O kg N-1","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143"
0,0,"0","0","Other phosphatic fertilizers, n.e.c.","Fraction leached","0.3","0.3","0.3","0.3","0.3"
0,0,"0","0","Other phosphatic fertilizers, n.e.c.","kg NH3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other phosphatic fertilizers, n.e.c.","kg HNO3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other phosphatic fertilizers, n.e.c.","kg urea req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other phosphatic fertilizers, n.e.c.","kg ammonium nitrate req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other phosphatic fertilizers, n.e.c.","kg map req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other phosphatic fertilizers, n.e.c.","kg dap req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other phosphatic fertilizers, n.e.c.","conversion tonnes N to tonnes fertiliser","0","0","0","0","0"
0,0,"0","0","Other potassic fertilizers, n.e.c.","Tonnes","0","0","0","0","0"
0,0,"0","0","Other potassic fertilizers, n.e.c.","Tonnes N","0","0","0","0","0"
0,0,"0","0","Other potassic fertilizers, n.e.c.","NH3 EF kg NH3 kg N-1","0","0","0","0","0"
0,0,"0","0","Other potassic fertilizers, n.e.c.","NO EF kg NO2 kg N-1","0.04","0.04","0.04","0.04","0.04"
0,0,"0","0","Other potassic fertilizers, n.e.c.","N2O direct EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Other potassic fertilizers, n.e.c.","N2O indirect vol EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Other potassic fertilizers, n.e.c.","N2O indirect leach EF kg N2O kg N-1","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143"
0,0,"0","0","Other potassic fertilizers, n.e.c.","Fraction leached","0.3","0.3","0.3","0.3","0.3"
0,0,"0","0","Other potassic fertilizers, n.e.c.","kg NH3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other potassic fertilizers, n.e.c.","kg HNO3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other potassic fertilizers, n.e.c.","kg urea req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other potassic fertilizers, n.e.c.","kg ammonium nitrate req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other potassic fertilizers, n.e.c.","kg map req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other potassic fertilizers, n.e.c.","kg dap req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Other potassic fertilizers, n.e.c.","conversion tonnes N to tonnes fertiliser","0","0","0","0","0"
0,0,"0","0","Phosphate rock","Tonnes","0","0","0","0","0"
0,0,"0","0","Phosphate rock","Tonnes N","0","0","0","0","0"
0,0,"0","0","Phosphate rock","NH3 EF kg NH3 kg N-1","0","0","0","0","0"
0,0,"0","0","Phosphate rock","NO EF kg NO2 kg N-1","0.04","0.04","0.04","0.04","0.04"
0,0,"0","0","Phosphate rock","N2O direct EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Phosphate rock","N2O indirect vol EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Phosphate rock","N2O indirect leach EF kg N2O kg N-1","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143"
0,0,"0","0","Phosphate rock","Fraction leached","0.3","0.3","0.3","0.3","0.3"
0,0,"0","0","Phosphate rock","kg NH3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Phosphate rock","kg HNO3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Phosphate rock","kg urea req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Phosphate rock","kg ammonium nitrate req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Phosphate rock","kg map req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Phosphate rock","kg dap req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Phosphate rock","conversion tonnes N to tonnes fertiliser","0","0","0","0","0"
0,0,"0","0","PK compounds","Tonnes","0","0","0","0","0"
0,0,"0","0","PK compounds","Tonnes N","0","0","0","0","0"
0,0,"0","0","PK compounds","NH3 EF kg NH3 kg N-1","0","0","0","0","0"
0,0,"0","0","PK compounds","NO EF kg NO2 kg N-1","0.04","0.04","0.04","0.04","0.04"
0,0,"0","0","PK compounds","N2O direct EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","PK compounds","N2O indirect vol EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","PK compounds","N2O indirect leach EF kg N2O kg N-1","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143"
0,0,"0","0","PK compounds","Fraction leached","0.3","0.3","0.3","0.3","0.3"
0,0,"0","0","PK compounds","kg NH3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","PK compounds","kg HNO3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","PK compounds","kg urea req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","PK compounds","kg ammonium nitrate req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","PK compounds","kg map req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","PK compounds","kg dap req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","PK compounds","conversion tonnes N to tonnes fertiliser","0","0","0","0","0"
0,0,"0","0","Potassium chloride (muriate of potash) (MOP)","Tonnes","21834","21834","21834","21834","21834"
0,0,"0","0","Potassium chloride (muriate of potash) (MOP)","Tonnes N","0","0","0","0","0"
0,0,"0","0","Potassium chloride (muriate of potash) (MOP)","NH3 EF kg NH3 kg N-1","0","0","0","0","0"
0,0,"0","0","Potassium chloride (muriate of potash) (MOP)","NO EF kg NO2 kg N-1","0.04","0.04","0.04","0.04","0.04"
0,0,"0","0","Potassium chloride (muriate of potash) (MOP)","N2O direct EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Potassium chloride (muriate of potash) (MOP)","N2O indirect vol EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Potassium chloride (muriate of potash) (MOP)","N2O indirect leach EF kg N2O kg N-1","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143"
