"country","year","sector","subsector","variable","units","value"
"Nigeria",2018,"Palm Oil",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Palm Oil",NA,"yield","kg ha-1 y-1",Inf
"Nigeria",2018,"Palm Oil",NA,"land area","ha",0
"Nigeria",2018,"Palm Oil",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Palm Oil",NA,"NUE","fraction",NA
"Nigeria",2018,"Palm Oil",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Palmkernel Oil",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Palmkernel Oil",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Palmkernel Oil",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Palmkernel Oil",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Palmkernel Oil",NA,"yield","kg ha-1 y-1",Inf
"Nigeria",2018,"Palmkernel Oil",NA,"land area","ha",0
"Nigeria",2018,"Palmkernel Oil",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Palmkernel Oil",NA,"NUE","fraction",NA
"Nigeria",2018,"Palmkernel Oil",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Peas",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Peas",NA,"above ground residue","kg y-1",850
"Nigeria",2018,"Peas",NA,"below ground residue","kg y-1",161.5
"Nigeria",2018,"Peas",NA,"total residue burned","kg y-1",212.5
"Nigeria",2018,"Peas",NA,"yield","kg ha-1 y-1",NA
"Nigeria",2018,"Peas",NA,"land area","ha",0
"Nigeria",2018,"Peas",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Peas",NA,"NUE","fraction",NA
"Nigeria",2018,"Peas",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Pineapples and products",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Pineapples and products",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Pineapples and products",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Pineapples and products",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Pineapples and products",NA,"yield","kg ha-1 y-1",8425.59106530948
"Nigeria",2018,"Pineapples and products",NA,"land area","ha",197567
"Nigeria",2018,"Pineapples and products",NA,"N surplus","kg N y-1",-247.844354999314
"Nigeria",2018,"Pineapples and products",NA,"NUE","fraction",12.382290404513
"Nigeria",2018,"Pineapples and products",NA,"ymax","kg N y-1",-1455052.81244149
"Nigeria",2018,"Plantains",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Plantains",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Plantains",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Plantains",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Plantains",NA,"yield","kg ha-1 y-1",6150.67793812957
"Nigeria",2018,"Plantains",NA,"land area","ha",502922
