"country","year","sector","subsector","species","mgmt","animal","pollutant","units","value"
"Nigeria",2018,"crops","manure application","Soyabean Oil",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Soyabeans",NA,NA,"NO","kg y-1",229633.173600092
"Nigeria",2018,"crops","manure application","Sugar (Raw Equivalent)",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Sugar beet",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Sugar cane",NA,NA,"NO","kg y-1",28048.2648455383
"Nigeria",2018,"crops","manure application","Sunflower seed",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Sunflowerseed Oil",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Sweet potatoes",NA,NA,"NO","kg y-1",547337.199735469
"Nigeria",2018,"crops","manure application","Tea (including mate)",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Tomatoes and products",NA,NA,"NO","kg y-1",248930.411470261
"Nigeria",2018,"crops","manure application","Vegetables, Other",NA,NA,"NO","kg y-1",252430.426554916
"Nigeria",2018,"crops","manure application","Wheat and products",NA,NA,"NO","kg y-1",18528.9097047991
"Nigeria",2018,"crops","manure application","Yams",NA,NA,"NO","kg y-1",2000892.73893242
"Nigeria",2018,"crops","manure application","Apples and products",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Bananas",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Barley and products",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Beans",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Cassava and products",NA,NA,"N2O","kg y-1",1190131.08960738
"Nigeria",2018,"crops","manure application","Cereals, Other",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Citrus, Other",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Cocoa Beans and products",NA,NA,"N2O","kg y-1",228844.397849611
"Nigeria",2018,"crops","manure application","Coconut Oil",NA,NA,"N2O","kg y-1",0
